"dmc_code"
"#0Z1915132PC   ###*Z00 B1YA01AMWYD*=01S-120626-1B0101-0.23-3598-2059-157.9-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YB00VHW50*=01S-120626-2A0101-0.27-3597-2063-158.1-26-30-110727"
"#0Z1915132PC   ###*Z00 B1Y901AMXDZ*=01S-120626-1A0102-0.23-3597-2068-158.5-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YE00LMP8.*=01S-120626-3B0202-0.25-3598-2066-157.4-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YC00VIGK1*=01S-120626-2B0102-0.24-3597-2064-156.9-25-30-210627"
"#0Z1915132PC   ###*Z00 B1Y901AKRV2*=01S-120626-1A0102-0.26-3597-2066-157.9-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKRDS*=01S-120626-1B0101-0.24-3597-2059-158.1-25-30-110727"
"#0Z1915132PC   ###*Z00 B1Y900NARX6*=01S-190226-1A0102-0.24-3596-2061-155.7-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YE006J691*=01S-190226-3B0202-0.26-3596-2067-157.4-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YE006J4UK*=01S-190226-3B0102-0.25-3596-2065-158.9-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NAS8P*=01S-190226-1A0102-0.26-3596-2059-156.6-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YB009UY7 *=01S-180226-2A0102-0.26-3596-2067-156.8-26-30-140327"
"#0Z1915132PC   ###*Z00 B1YB009UYC0*=01S-180226-2A0102-0.26-3596-2066-157.1-26-30-140327"
"#0Z1915132PC   ###*Z00 B1YB009UXM9*=01S-180226-2A0102-0.25-3596-2063-157.7-26-30-140327"
"#0Z1915132PC   ###*Z00 B1YE006J5ZQ*=01S-190226-3B0102-0.26-3596-2062-157.7-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YC009X6Y+*=01S-190226-2B0102-0.27-3596-2064-157.8-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YC009X708*=01S-190226-2B0102-0.25-3596-2067-158.2-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YB009UYL9*=01S-180226-2A0102-0.26-3596-2071-157.9-26-30-140327"
"#0Z1915132PC   ###*Z00 B1YE006J4QG*=01S-190226-3B0202-0.25-3596-2065-156.5-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YC009X8BK*=01S-190226-2B0101-0.27-3595-2072-157.9-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YD006J3K8*=01S-190226-3A0102-0.27-3596-2063-157.1-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YC009X8PY*=01S-190226-2B0102-0.25-3595-2066-157.0-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NAT6O*=01S-190226-1A0202-0.24-3595-2062-156.5-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB2C4*=01S-190226-1A0102-0.25-3596-2068-159.3-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB3C5*=01S-190226-1A0102-0.24-3595-2059-156.7-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB2E6*=01S-190226-1A0102-0.24-3596-2067-158.3-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB3F8*=01S-190226-1A0102-0.26-3596-2061-156.5-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB3G9*=01S-190226-1A0102-0.24-3595-2063-156.7-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB3IB*=01S-190226-1A0102-0.25-3595-2063-156.7-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB3HA*=01S-190226-1A0101-0.27-3595-2067-158.2-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NAS6N*=01S-190226-1A0102-0.26-3596-2070-157.5-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB2KC*=01S-190226-1A0102-0.24-3595-2072-158.6-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YC009X7LT*=01S-190226-2B0102-0.25-3597-2064-156.2-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NASGX*=01S-190226-1A0102-0.26-3596-2064-156.1-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YE006J680*=01S-190226-3B0202-0.24-3597-2068-157.0-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YD006J40W*=01S-190226-3A0102-0.27-3596-2067-157.8-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YC009X7KS*=01S-190226-2B0101-0.26-3596-2064-156.0-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB2QI*=01S-190226-1A0202-0.24-3595-2062-157.2-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB2IA*=01S-190226-1A0202-0.24-3596-2060-158.4-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NASN/*=01S-190226-1A0202-0.24-3596-2061-155.9-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB24$*=01S-190226-1A0102-0.25-3596-2070-158.6-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB3JC*=01S-190226-1A0102-0.26-3595-2069-158.2-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NAS4L*=01S-190226-1A0102-0.26-3596-2061-155.6-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB2D5*=01S-190226-1A0102-0.26-3596-2065-158.4-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB3E7*=01S-190226-1A0202-0.25-3595-2065-157.0-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB2A2*=01S-190226-1A0202-0.24-3596-2068-159.0-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NAT7P*=01S-190226-1A0102-0.26-3596-2064-156.9-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NAT2K*=01S-190226-1A0102-0.24-3596-2063-156.7-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB3A3*=01S-190226-1A0102-0.24-3595-2061-157.0-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB381*=01S-190226-1A0102-0.24-3595-2068-157.4-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NAT3L*=01S-190226-1A0202-0.26-3596-2066-155.7-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB3D6*=01S-190226-1A0202-0.26-3595-2065-157.5-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YE006J5NE*=01S-190226-3B0101-0.27-3596-2069-159.0-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NAST3*=01S-190226-1A0202-0.26-3597-2068-156.6-25-30-150327"
"#0Z1915132PC   ###*Z00 B1Y900NB2TL*=01S-190226-1A0102-0.26-3595-2064-157.0-25-30-150327"
"#0Z1915132PC   ###*Z00 B1YC009XET1*=01S-190226-2B0102-0.26-3597-2067-157.1-25-30-150327"
